Occupation,Credit_Mix,Payment_of_Min_Amount,Debt Consolidation Loan,Auto Loan,Credit-Builder Loan,Home Equity Loan,Personal Loan,Student Loan
Engineer,Standard,Yes,1,0,0,0,1,1
Entrepreneur,Good,No,1,0,0,0,0,0
Manager,Bad,Yes,0,1,0,1,1,1
Musician,Bad,Yes,0,0,1,1,0,1
Doctor,Standard,Yes,0,1,0,0,1,0
Lawyer,Good,No,0,0,1,0,0,0
Writer,Good,No,0,1,0,0,0,0
Architect,Bad,Yes,1,1,0,0,0,1
Entrepreneur,Good,No,1,1,0,0,0,1
Scientist,Bad,Yes,0,0,1,1,0,1
Writer,Bad,Yes,0,1,1,1,0,1
Engineer,Good,No,0,0,1,1,0,0
Doctor,Bad,Yes,1,1,0,0,1,1
Media_Manager,Bad,Yes,1,1,1,1,1,0
Media_Manager,Bad,Yes,1,0,1,1,0,0
Entrepreneur,Standard,Yes,1,0,1,1,0,1
Scientist,Bad,Yes,1,0,1,0,1,1
Writer,Standard,Yes,0,1,0,0,0,1
Architect,Good,No,1,0,0,0,1,0
Engineer,Good,No,0,0,0,0,0,1
Scientist,Bad,Yes,1,0,0,1,1,0
Accountant,Standard,No,1,1,0,0,0,0
Manager,Standard,Yes,1,0,1,0,1,0
Manager,Bad,Yes,1,1,0,1,1,1
Architect,Bad,Yes,1,1,1,0,0,1
Architect,Good,No,1,0,0,1,0,0
Manager,Standard,Yes,0,1,0,1,1,0
Engineer,Bad,Yes,0,0,0,1,0,0
Accountant,Bad,Yes,1,1,0,1,1,1
Manager,Good,No,0,0,0,0,0,1
Architect,Good,No,0,0,0,0,0,1
Lawyer,Standard,No,0,1,1,0,1,0
Manager,Standard,Yes,0,0,0,0,0,0
Lawyer,Bad,Yes,1,1,1,0,0,1
Entrepreneur,Standard,Yes,0,0,1,0,0,0
Engineer,Standard,Yes,1,0,0,0,0,0
Musician,Standard,Yes,0,0,0,0,0,1
Engineer,Good,No,1,0,0,0,1,0
Engineer,Bad,Yes,0,0,1,1,0,0
Mechanic,Bad,Yes,0,1,0,1,1,1
Architect,Standard,Yes,1,1,0,1,0,1
Writer,Standard,Yes,1,1,0,0,0,1
Teacher,Bad,Yes,0,1,0,0,1,1
Developer,Bad,Yes,1,0,1,1,0,0
Scientist,Standard,Yes,0,1,1,0,0,0
Writer,Bad,Yes,0,1,1,0,1,0
Teacher,Good,No,1,0,0,0,0,0
Accountant,Good,No,0,0,0,1,0,0
Mechanic,Good,No,0,1,0,1,0,0
Musician,Standard,Yes,0,0,0,0,1,0
Architect,Good,No,0,0,1,0,0,1
Developer,Good,No,0,0,1,0,0,0
Architect,Good,No,0,0,0,1,0,0
Teacher,Standard,Yes,0,0,1,1,1,1
Developer,Good,No,0,1,0,0,0,1
Media_Manager,Standard,Yes,0,0,1,0,0,1
Scientist,Bad,Yes,0,1,0,1,1,0
Manager,Standard,No,0,1,0,0,0,0
Scientist,Bad,Yes,0,1,1,1,0,0
Developer,Bad,Yes,1,0,1,1,1,0
Scientist,Good,No,0,0,0,1,1,0
Mechanic,Good,No,1,0,0,0,0,0
Doctor,Bad,Yes,0,1,1,1,0,0
Developer,Good,No,0,0,1,0,0,0
Entrepreneur,Bad,Yes,1,1,1,1,1,0
Architect,Standard,Yes,1,0,0,1,0,1
Entrepreneur,Good,No,0,0,0,0,0,0
Doctor,Bad,Yes,1,0,0,1,0,1
Mechanic,Standard,Yes,1,1,1,0,1,1
Developer,Bad,Yes,0,0,1,0,1,1
Scientist,Standard,No,1,0,0,0,0,0
Developer,Bad,Yes,1,1,0,0,1,0
Developer,Standard,No,0,0,0,0,0,0
Developer,Good,No,0,0,0,0,0,1
Accountant,Bad,Yes,1,0,1,1,1,0
Engineer,Standard,Yes,0,0,0,0,1,0
Media_Manager,Standard,Yes,0,0,0,0,1,0
Engineer,Good,No,0,0,0,0,0,1
Teacher,Good,No,0,1,0,0,1,0
Doctor,Good,No,0,1,0,0,0,0
Developer,Standard,Yes,0,1,0,0,0,1
Scientist,Bad,Yes,0,0,1,1,1,1
Developer,Standard,Yes,1,0,0,1,1,0
Architect,Good,No,1,0,0,0,1,1
Teacher,Good,No,0,0,0,1,1,0
Accountant,Standard,Yes,0,0,0,0,0,1
Architect,Standard,Yes,0,0,0,0,0,0
Doctor,Good,No,0,1,0,0,0,0
Mechanic,Standard,No,1,1,0,0,0,0
Accountant,Standard,Yes,1,0,0,0,1,0
Lawyer,Standard,Yes,0,0,0,0,0,1
Media_Manager,Standard,Yes,1,1,0,0,0,1
Writer,Standard,Yes,0,0,0,0,0,0
Mechanic,Good,No,0,0,1,0,0,0
Lawyer,Standard,Yes,1,0,1,0,1,1
Journalist,Good,No,1,0,0,0,0,0
Writer,Bad,Yes,0,1,0,0,1,0
Journalist,Good,No,0,0,0,0,1,0
Writer,Good,No,0,1,1,0,0,0
Scientist,Good,No,0,0,0,1,1,0
Doctor,Good,No,1,0,0,0,0,0
Media_Manager,Standard,Yes,0,1,0,0,0,0
Doctor,Good,No,0,0,0,0,1,0
Engineer,Standard,Yes,1,0,0,0,0,0
Entrepreneur,Good,No,0,1,0,0,0,1
Entrepreneur,Standard,Yes,0,1,1,0,1,0
Entrepreneur,Good,No,0,0,0,0,1,0
Writer,Bad,Yes,1,1,1,0,0,0
Lawyer,Standard,Yes,0,0,0,0,0,1
Media_Manager,Good,No,0,0,0,0,0,0
Mechanic,Bad,Yes,1,1,1,0,1,0
Mechanic,Standard,Yes,0,0,1,1,1,0
Engineer,Good,No,0,0,0,0,1,0
Architect,Standard,Yes,0,0,0,0,0,1
Lawyer,Bad,Yes,1,0,0,1,0,0
Architect,Bad,Yes,0,1,1,1,1,1
Media_Manager,Standard,Yes,0,1,1,0,1,0
Engineer,Bad,Yes,0,1,1,1,0,0
Doctor,Standard,Yes,0,0,1,1,1,0
Mechanic,Good,No,0,0,0,0,1,0
Mechanic,Standard,Yes,0,0,0,0,0,0
Journalist,Good,No,0,1,0,0,0,0
Entrepreneur,Standard,Yes,0,0,1,1,0,1
Developer,Good,No,1,0,0,1,1,0
Mechanic,Bad,Yes,1,0,0,0,1,1
Engineer,Standard,No,0,0,0,1,0,1
Writer,Bad,Yes,1,1,0,0,1,0
Mechanic,Standard,Yes,1,0,0,0,1,1
Scientist,Standard,Yes,0,1,0,0,1,0
Musician,Standard,Yes,0,0,0,0,1,1
Mechanic,Standard,Yes,0,0,0,0,0,0
Teacher,Bad,Yes,1,1,0,0,1,0
Media_Manager,Standard,Yes,0,0,1,0,0,1
Doctor,Standard,Yes,1,1,0,0,0,0
Developer,Bad,Yes,0,0,1,1,1,0
Musician,Bad,Yes,0,0,1,0,0,0
Media_Manager,Standard,Yes,0,1,1,0,0,0
Engineer,Standard,Yes,0,0,0,0,0,1
Media_Manager,Good,No,1,0,0,0,0,0
Developer,Standard,Yes,0,0,0,0,1,0
Journalist,Bad,Yes,1,0,1,1,0,1
Writer,Standard,Yes,1,0,0,0,0,0
Developer,Standard,Yes,1,0,0,1,1,0
Teacher,Good,No,0,0,1,0,0,1
Manager,Bad,Yes,0,0,1,0,1,1
Entrepreneur,Bad,Yes,0,1,1,1,0,0
Architect,Bad,Yes,0,0,1,1,1,0
Scientist,Good,No,0,1,0,0,0,0
Mechanic,Good,No,0,0,0,1,0,0
Engineer,Standard,Yes,0,1,0,0,0,0
Scientist,Good,No,0,1,0,0,0,1
Scientist,Standard,Yes,0,1,0,0,0,0
Entrepreneur,Standard,No,0,0,0,1,0,0
Teacher,Standard,Yes,1,1,0,1,0,0
Journalist,Standard,Yes,0,0,1,0,0,1
Journalist,Bad,Yes,1,0,1,1,1,1
Lawyer,Good,No,0,0,1,0,0,0
Lawyer,Bad,Yes,1,0,1,0,0,1
Engineer,Standard,Yes,0,1,0,1,0,1
Manager,Bad,Yes,0,0,0,1,1,1
Lawyer,Standard,No,0,1,1,0,1,0
Journalist,Standard,Yes,0,0,0,0,1,1
Developer,Standard,Yes,0,1,1,1,0,0
Journalist,Bad,Yes,1,0,1,1,1,1
Teacher,Good,No,1,0,1,0,0,0
Architect,Standard,Yes,0,1,1,0,0,0
Developer,Standard,No,0,1,0,0,1,0
Media_Manager,Good,No,0,0,0,0,0,0
Scientist,Standard,Yes,0,0,0,0,0,0
Entrepreneur,Standard,No,0,0,1,0,0,0
Media_Manager,Standard,Yes,0,1,0,0,0,0
Doctor,Bad,Yes,0,0,0,0,0,0
Media_Manager,Good,No,0,1,0,1,0,0
Architect,Standard,Yes,0,1,1,1,1,0
Accountant,Good,No,0,0,0,1,0,0
Manager,Standard,Yes,0,1,0,0,0,0
Developer,Bad,Yes,0,0,1,1,0,1
Writer,Bad,Yes,1,0,0,0,1,1
Media_Manager,Bad,Yes,0,1,0,0,1,0
Musician,Standard,Yes,0,0,0,0,1,0
Lawyer,Good,No,0,0,0,1,0,0
Mechanic,Standard,Yes,0,0,0,0,1,0
Architect,Standard,Yes,0,0,0,0,0,0
Teacher,Bad,Yes,0,1,0,1,0,0
Accountant,Good,No,0,0,0,1,0,1
Teacher,Standard,Yes,0,0,1,0,0,0
Accountant,Standard,Yes,1,0,0,1,0,0
Mechanic,Bad,Yes,1,0,0,0,0,0
Developer,Good,No,1,0,0,0,0,0
Mechanic,Good,No,0,1,0,1,0,0
Developer,Standard,No,0,0,0,0,1,0
Doctor,Standard,Yes,0,1,0,1,0,0
Engineer,Standard,Yes,0,0,1,0,0,0
Engineer,Good,No,0,0,1,0,0,0
Writer,Standard,Yes,0,0,0,1,0,1
Accountant,Standard,Yes,0,0,0,0,1,1
Scientist,Standard,Yes,0,0,0,0,0,1
Architect,Standard,Yes,0,1,0,1,0,0
Lawyer,Good,No,0,1,1,0,1,0
Scientist,Standard,No,0,0,0,1,0,1
Scientist,Good,No,0,1,0,0,0,0
Musician,Bad,Yes,1,1,1,1,0,0
Media_Manager,Bad,Yes,1,0,0,1,1,1
Engineer,Bad,Yes,1,0,0,1,0,0
Writer,Standard,Yes,0,0,0,0,0,0
Scientist,Standard,Yes,0,0,1,0,0,1
Musician,Bad,Yes,1,1,1,0,0,0
Journalist,Standard,Yes,0,0,1,1,0,0
Writer,Standard,No,1,0,1,0,0,0
Engineer,Bad,Yes,1,0,0,1,0,1
Accountant,Good,No,0,1,0,0,0,0
Teacher,Bad,Yes,0,1,1,1,1,1
Lawyer,Standard,Yes,1,0,0,1,0,0
Musician,Standard,Yes,0,0,1,0,0,1
Teacher,Bad,Yes,0,0,1,0,0,1
Engineer,Standard,Yes,0,0,0,1,0,0
Doctor,Standard,No,0,1,0,0,0,1
Developer,Standard,Yes,1,0,1,1,1,0
Media_Manager,Good,No,1,0,1,0,0,0
Media_Manager,Bad,Yes,1,1,0,0,1,1
Musician,Standard,No,0,1,0,0,0,1
Lawyer,Bad,Yes,0,0,0,0,1,1
Media_Manager,Standard,No,0,0,1,1,0,0
Lawyer,Standard,Yes,0,0,0,0,0,1
Entrepreneur,Standard,Yes,1,0,0,1,1,0
Journalist,Standard,Yes,1,0,0,0,0,0
Teacher,Good,No,0,1,0,0,0,1
Mechanic,Standard,Yes,0,1,1,0,0,0
Mechanic,Bad,Yes,1,0,0,0,0,1
Musician,Good,No,0,0,0,1,0,0
Engineer,Good,No,0,0,1,0,1,0
Manager,Bad,Yes,1,0,1,1,1,0
Doctor,Standard,No,0,0,0,0,0,0
Engineer,Good,No,0,1,0,0,0,1
Accountant,Standard,Yes,0,1,0,1,0,0
Scientist,Standard,Yes,0,1,0,1,0,0
Scientist,Good,No,0,0,1,0,1,0
Doctor,Good,No,0,1,1,0,0,0
Engineer,Bad,Yes,0,0,0,1,1,0
Doctor,Good,No,0,0,0,0,0,1
Musician,Good,No,1,0,0,0,0,1
Musician,Good,No,0,0,0,0,0,0
Teacher,Good,No,1,0,1,0,0,1
Lawyer,Standard,Yes,0,1,0,1,0,0
Musician,Standard,Yes,0,1,0,1,0,1
Scientist,Standard,No,0,1,0,0,0,0
Writer,Standard,Yes,0,1,1,0,1,0
Manager,Standard,Yes,0,0,0,1,0,0
Accountant,Standard,No,0,0,0,0,1,0
Scientist,Standard,No,0,0,0,0,0,0
Entrepreneur,Standard,Yes,0,1,1,0,0,1
Teacher,Standard,Yes,0,0,1,1,0,0
Media_Manager,Bad,Yes,1,1,1,0,0,1
Developer,Bad,Yes,0,0,0,0,0,1
Media_Manager,Bad,Yes,1,0,1,0,0,1
Writer,Standard,Yes,1,1,0,1,0,0
Writer,Bad,Yes,0,0,0,0,1,0
Architect,Good,No,0,0,1,0,0,0
Lawyer,Standard,No,0,0,1,0,1,0
Accountant,Good,No,0,0,0,0,0,0
Writer,Standard,Yes,1,1,1,1,0,0
Mechanic,Bad,Yes,0,0,1,1,1,0
Lawyer,Good,No,0,0,0,0,0,1
Engineer,Bad,Yes,0,0,1,1,0,0
Scientist,Bad,Yes,1,0,0,1,1,1
Teacher,Standard,No,0,1,0,0,0,0
Engineer,Good,No,1,0,0,0,0,0
Musician,Standard,Yes,0,1,0,1,1,0
Musician,Bad,Yes,1,1,0,0,0,1
Architect,Standard,Yes,1,1,1,1,0,0
Doctor,Good,No,1,0,1,0,0,0
Media_Manager,Standard,Yes,0,0,0,1,1,0
Doctor,Standard,Yes,0,0,0,0,0,0
Entrepreneur,Good,No,0,0,0,0,0,1
Manager,Standard,No,0,1,1,0,0,0
Architect,Standard,Yes,0,1,0,0,0,0
Engineer,Bad,Yes,1,1,0,1,0,0
Musician,Standard,Yes,1,1,0,0,0,1
Teacher,Standard,Yes,1,1,0,1,0,0
Entrepreneur,Standard,Yes,0,1,1,1,0,0
Writer,Bad,Yes,1,0,0,0,1,1
Entrepreneur,Standard,Yes,0,1,1,0,1,0
Manager,Bad,Yes,0,1,1,1,1,0
Journalist,Standard,Yes,1,0,1,0,0,0
Entrepreneur,Good,No,1,0,1,0,0,0
Journalist,Standard,Yes,0,1,0,1,1,1
Scientist,Good,No,0,0,1,1,1,0
Teacher,Standard,Yes,0,1,0,0,0,0
Accountant,Standard,Yes,1,0,0,0,0,0
Scientist,Standard,No,0,1,0,1,1,0
Journalist,Bad,Yes,0,0,0,0,1,1
Accountant,Standard,No,0,0,0,0,1,0
Lawyer,Good,No,0,1,0,0,0,1
Musician,Standard,No,0,0,0,1,0,0
Teacher,Standard,Yes,1,1,0,0,0,0
Media_Manager,Standard,Yes,0,1,0,0,0,0
Engineer,Good,No,0,1,1,0,0,0
Journalist,Bad,Yes,0,1,0,1,0,1
Engineer,Good,No,1,0,0,0,0,0
Media_Manager,Bad,Yes,0,0,1,0,0,0
Lawyer,Standard,No,1,0,1,0,1,0
Architect,Standard,Yes,0,1,0,1,1,0
Mechanic,Good,No,0,1,0,0,0,0
Writer,Good,No,0,1,0,0,0,0
Scientist,Standard,Yes,0,0,0,1,1,1
Media_Manager,Standard,Yes,1,1,0,0,0,1
Scientist,Good,No,0,0,0,0,0,1
Engineer,Standard,No,0,0,1,1,0,0
Scientist,Good,No,0,0,1,0,0,0
Mechanic,Standard,No,1,1,0,0,0,0
Doctor,Bad,Yes,0,0,1,1,1,0
Entrepreneur,Bad,Yes,0,1,1,1,1,0
Media_Manager,Standard,Yes,0,0,1,0,0,0
Architect,Standard,Yes,1,1,1,0,0,1
Doctor,Good,No,0,0,0,0,1,0
Engineer,Bad,Yes,1,0,0,1,1,1
Media_Manager,Good,No,1,0,1,0,1,0
Musician,Standard,Yes,0,0,1,1,0,0
Architect,Bad,Yes,1,0,0,1,0,0
Teacher,Good,No,1,0,1,0,0,1
Manager,Bad,Yes,0,0,1,1,1,0
Architect,Good,No,0,0,0,1,0,0
Scientist,Bad,Yes,1,1,0,0,1,0
Engineer,Good,No,0,1,0,0,0,0
Entrepreneur,Standard,No,0,0,0,0,0,0
Architect,Standard,Yes,1,1,0,0,1,0
Musician,Standard,Yes,0,0,0,0,0,0
Manager,Standard,Yes,0,1,0,0,0,0
Scientist,Standard,Yes,1,1,0,0,1,0
Accountant,Bad,Yes,1,0,1,0,0,1
Journalist,Standard,Yes,0,0,0,1,1,0
Media_Manager,Standard,No,0,1,0,0,0,0
Mechanic,Bad,Yes,0,0,0,1,0,0
Teacher,Standard,No,0,1,1,0,0,1
Journalist,Bad,Yes,1,1,0,1,0,0
Writer,Good,No,0,0,0,0,0,1
Teacher,Good,No,1,1,0,0,0,0
Lawyer,Standard,Yes,1,1,1,0,1,0
Scientist,Bad,Yes,0,0,0,0,0,1
Writer,Bad,Yes,1,1,1,1,1,0
Lawyer,Good,No,1,0,0,0,0,1
Entrepreneur,Bad,Yes,1,0,0,0,0,0
Musician,Good,No,1,0,1,0,1,0
Manager,Standard,Yes,1,0,1,0,0,0
Developer,Good,No,0,0,0,1,0,0
Musician,Standard,No,1,0,0,1,0,1
Doctor,Standard,No,1,0,0,1,0,0
Journalist,Good,No,1,0,0,0,0,0
Engineer,Bad,Yes,0,1,0,1,1,1
Entrepreneur,Good,No,0,0,0,0,1,0
Musician,Standard,No,0,0,1,0,0,0
Doctor,Bad,Yes,0,1,1,1,1,0
Writer,Good,No,0,0,0,1,0,0
Writer,Bad,Yes,1,1,0,0,0,1
Scientist,Standard,Yes,0,1,1,1,1,0
Scientist,Standard,Yes,0,0,0,1,0,1
Journalist,Bad,Yes,1,1,1,0,0,1
Musician,Standard,Yes,0,1,0,0,0,0
Developer,Standard,Yes,0,0,0,0,0,0
Musician,Standard,Yes,1,0,0,1,0,0
Scientist,Bad,Yes,0,0,0,0,0,1
Media_Manager,Good,No,1,1,0,0,0,0
Lawyer,Good,No,0,0,1,0,0,0
Scientist,Bad,Yes,0,1,1,1,0,0
Journalist,Good,No,0,1,0,0,1,0
Journalist,Standard,Yes,1,1,1,1,1,0
Journalist,Standard,Yes,1,0,1,0,0,0
Teacher,Good,No,0,1,0,1,0,1
Engineer,Bad,Yes,1,0,0,0,0,0
Scientist,Standard,Yes,0,0,0,1,0,0
Accountant,Standard,Yes,0,1,0,0,1,1
Architect,Good,No,0,1,0,0,0,0
Teacher,Bad,Yes,1,0,0,0,1,0
Entrepreneur,Standard,Yes,1,1,1,0,1,1
Accountant,Standard,Yes,0,1,0,0,0,0
Engineer,Standard,Yes,0,0,1,0,0,0
Journalist,Standard,Yes,0,1,1,0,1,0
Accountant,Bad,Yes,0,0,1,0,0,1
Entrepreneur,Bad,Yes,1,1,1,1,0,1
Accountant,Bad,Yes,1,1,0,1,1,1
Manager,Good,No,0,0,0,0,0,1
Mechanic,Good,No,0,0,1,0,0,0
Teacher,Bad,Yes,0,0,0,1,0,0
Scientist,Standard,Yes,0,0,0,0,0,0
Media_Manager,Standard,Yes,0,0,1,1,1,1
Engineer,Standard,Yes,0,0,0,1,1,0
Teacher,Good,No,1,1,1,0,1,0
Teacher,Standard,Yes,0,0,1,0,0,1
Teacher,Good,No,0,0,1,0,0,1
Teacher,Good,No,1,1,0,0,0,0
Journalist,Bad,Yes,0,1,1,1,0,1
Entrepreneur,Good,No,0,0,0,0,1,1
Journalist,Good,No,0,0,0,1,0,0
Teacher,Standard,Yes,0,1,0,1,0,0
Engineer,Standard,No,1,1,0,1,0,0
Manager,Standard,Yes,1,0,0,0,0,0
Architect,Standard,Yes,0,1,0,0,1,1
Mechanic,Good,No,1,0,0,0,0,0
Writer,Standard,Yes,0,1,1,0,0,0
Media_Manager,Standard,Yes,1,1,1,0,0,0
Architect,Good,No,1,1,0,0,0,1
Journalist,Standard,Yes,1,1,0,1,1,0
Accountant,Bad,Yes,0,0,0,1,1,0
Scientist,Standard,Yes,0,0,1,0,1,0
Developer,Standard,Yes,0,0,0,1,1,0
Engineer,Bad,Yes,1,1,1,0,1,1
Scientist,Bad,Yes,1,0,1,0,0,0
Lawyer,Standard,No,0,0,0,1,0,0
Writer,Good,No,0,0,0,0,0,0
Manager,Standard,Yes,1,0,0,0,0,1
Writer,Bad,Yes,0,0,0,0,0,0
Scientist,Bad,Yes,1,0,1,0,1,1
Architect,Standard,Yes,1,1,0,0,0,0
Entrepreneur,Bad,Yes,0,0,1,1,0,1
Writer,Standard,Yes,1,0,1,0,1,1
Journalist,Bad,Yes,0,1,1,0,0,1
Lawyer,Standard,Yes,1,0,0,0,1,1
Manager,Standard,Yes,1,1,0,0,0,0
Journalist,Bad,Yes,0,1,0,0,0,0
Doctor,Standard,Yes,0,0,1,1,0,1
Manager,Standard,Yes,0,0,0,1,0,0
Media_Manager,Standard,Yes,0,1,1,0,1,0
Teacher,Standard,No,0,1,1,0,0,1
Engineer,Bad,Yes,0,0,0,1,1,0
Engineer,Bad,Yes,0,0,0,1,1,0
Scientist,Good,No,0,0,1,0,0,0
Accountant,Good,No,1,0,0,0,0,0
Engineer,Standard,Yes,0,1,1,0,0,0
Developer,Standard,Yes,0,0,0,1,0,1
Manager,Standard,Yes,0,1,0,0,0,1
Architect,Bad,Yes,1,0,1,0,1,1
Media_Manager,Good,No,0,0,0,1,0,1
Media_Manager,Standard,Yes,1,0,0,0,0,1
Writer,Standard,No,0,1,1,0,0,0
Lawyer,Good,No,0,1,0,0,0,0
Entrepreneur,Standard,Yes,0,1,0,0,0,0
Entrepreneur,Good,No,0,0,0,0,1,1
Mechanic,Good,No,0,0,1,0,0,0
Mechanic,Bad,Yes,1,1,0,0,0,0
Architect,Good,No,0,1,0,1,0,0
Scientist,Standard,Yes,0,0,1,1,0,1
Developer,Bad,Yes,1,1,1,1,0,0
Architect,Bad,Yes,0,1,0,1,0,0
Architect,Good,No,0,0,1,0,0,0
Entrepreneur,Bad,Yes,1,0,0,0,1,1
Lawyer,Standard,Yes,0,0,0,0,0,0
Developer,Standard,Yes,1,0,1,0,0,1
Writer,Standard,Yes,0,0,1,1,0,0
Doctor,Good,No,0,0,0,0,0,0
Engineer,Good,No,0,0,1,1,0,0
Lawyer,Standard,Yes,0,0,0,1,1,1
Architect,Standard,Yes,1,1,0,0,1,0
Journalist,Bad,Yes,1,0,0,0,1,0
Scientist,Standard,Yes,0,1,0,0,0,0
Scientist,Standard,Yes,0,0,0,0,1,0
Journalist,Good,No,0,1,0,0,1,0
Writer,Bad,Yes,1,0,1,0,0,1
Engineer,Standard,Yes,0,0,1,1,0,1
Doctor,Good,No,0,0,0,0,0,0
Journalist,Standard,Yes,1,0,0,0,1,0
Musician,Standard,Yes,0,1,0,0,0,0
Entrepreneur,Standard,Yes,0,0,0,0,1,0
Mechanic,Good,No,0,0,0,0,1,1
Musician,Standard,Yes,1,1,1,1,0,0
Scientist,Standard,Yes,1,1,1,0,0,0
Mechanic,Bad,Yes,0,0,0,1,1,0
Mechanic,Standard,Yes,0,0,0,0,1,0
Doctor,Good,No,0,0,0,0,1,0
Engineer,Standard,Yes,0,0,0,0,1,0
Accountant,Standard,Yes,0,0,1,0,1,0
Architect,Good,No,1,0,0,0,0,0
Teacher,Standard,No,0,0,0,1,0,1
Engineer,Standard,Yes,0,0,1,0,0,0
Engineer,Bad,Yes,1,0,0,1,0,0
Mechanic,Bad,Yes,1,1,0,1,1,1
Doctor,Standard,Yes,0,1,0,0,1,0
Developer,Bad,Yes,0,0,1,0,1,1
Entrepreneur,Bad,Yes,1,1,1,1,0,0
Entrepreneur,Bad,Yes,1,0,1,0,1,1
Entrepreneur,Good,No,0,1,1,1,0,0
Mechanic,Standard,Yes,0,0,1,1,1,0
Developer,Good,No,0,0,0,0,1,1
Journalist,Standard,Yes,0,1,0,1,0,0
Mechanic,Standard,Yes,1,0,0,0,0,0
Developer,Good,No,0,0,0,0,0,1
Developer,Good,No,0,1,0,0,0,0
Journalist,Good,No,1,0,1,0,0,0
Teacher,Good,No,0,0,1,0,1,0
Teacher,Standard,Yes,0,1,0,1,0,0
Teacher,Good,No,0,1,1,1,0,0
Scientist,Bad,Yes,1,0,1,1,0,1
Engineer,Standard,Yes,0,0,0,0,0,0
Architect,Bad,Yes,0,1,1,0,0,1
Lawyer,Good,No,0,0,1,0,0,0
Journalist,Standard,Yes,0,0,0,1,0,0
Engineer,Good,No,0,0,0,0,0,0
Manager,Bad,Yes,0,1,0,1,0,0
Architect,Bad,Yes,0,1,1,1,0,1
Accountant,Good,No,0,0,0,0,1,1
Accountant,Good,No,0,1,0,0,0,1
Doctor,Good,No,0,0,0,0,1,0
Journalist,Bad,Yes,0,0,1,1,0,1
Musician,Standard,Yes,0,0,0,0,0,0
Lawyer,Good,No,1,0,0,0,0,1
Manager,Good,No,1,1,0,0,0,0
Musician,Standard,Yes,0,0,1,1,0,0
Entrepreneur,Standard,Yes,0,1,0,0,0,0
Scientist,Good,No,1,0,0,0,1,1
Teacher,Standard,Yes,0,1,0,1,0,0
Mechanic,Standard,Yes,0,1,1,0,0,0
Architect,Bad,Yes,1,1,0,0,0,0
Architect,Good,No,0,0,1,0,0,0
Entrepreneur,Good,No,0,0,0,0,0,1
Accountant,Standard,Yes,0,1,1,0,0,0
Doctor,Standard,Yes,0,0,0,0,0,1
Media_Manager,Standard,Yes,1,1,0,0,0,1
Mechanic,Standard,Yes,0,0,1,0,0,0
Musician,Bad,Yes,1,0,0,1,0,0
Accountant,Standard,No,0,0,0,1,0,0
Architect,Bad,Yes,0,1,0,1,0,0
Doctor,Good,No,0,0,0,0,0,0
Engineer,Good,No,1,1,0,0,0,0
Lawyer,Bad,Yes,1,0,1,1,0,1
Engineer,Standard,Yes,0,0,0,0,0,1
Lawyer,Standard,Yes,1,0,1,0,0,1
Doctor,Good,No,0,0,0,0,0,1
Musician,Good,No,1,0,0,0,0,0
Mechanic,Bad,Yes,1,1,0,1,0,0
Doctor,Standard,Yes,0,1,0,0,0,0
Media_Manager,Standard,Yes,0,0,0,0,0,1
Mechanic,Standard,Yes,0,0,1,1,0,1
Engineer,Standard,No,0,1,1,0,1,0
Teacher,Bad,Yes,1,0,1,1,0,0
Lawyer,Good,No,0,0,1,1,0,0
Manager,Bad,Yes,1,1,1,0,0,1
Architect,Good,No,0,0,1,1,0,0
Architect,Good,No,0,0,0,0,0,1
Media_Manager,Good,No,0,1,0,0,0,0
Writer,Standard,No,1,0,1,1,0,0
Musician,Standard,No,0,0,0,0,0,1
Scientist,Bad,Yes,1,1,1,1,1,0
Mechanic,Good,No,1,0,0,0,0,0
Musician,Standard,Yes,0,0,0,1,1,0
Developer,Bad,Yes,0,0,1,1,0,0
Accountant,Standard,Yes,0,0,0,1,0,0
Architect,Good,No,0,0,0,0,0,0
Engineer,Standard,Yes,1,0,1,1,1,0
Entrepreneur,Good,No,1,1,0,0,0,1
Developer,Bad,Yes,0,1,0,1,0,1
Engineer,Standard,Yes,0,1,0,1,1,0
Media_Manager,Bad,Yes,1,0,1,1,1,0
Accountant,Standard,No,1,0,0,0,0,0
Manager,Good,No,1,1,0,0,0,0
Doctor,Standard,No,0,1,0,0,1,0
Developer,Good,No,0,0,0,1,0,0
Scientist,Good,No,1,0,0,0,0,1
Musician,Good,No,0,0,0,0,1,0
Engineer,Standard,Yes,1,0,0,0,1,0
Teacher,Good,No,0,1,0,1,0,0
Engineer,Bad,Yes,1,1,0,1,1,0
Architect,Standard,Yes,1,1,0,1,1,0
Engineer,Standard,Yes,1,0,1,0,0,0
Mechanic,Good,No,1,1,0,0,1,0
Media_Manager,Standard,No,0,0,1,0,0,1
Musician,Good,No,1,0,1,0,0,0
Architect,Standard,Yes,0,1,0,0,0,1
Entrepreneur,Standard,No,0,1,0,0,1,0
Architect,Standard,Yes,1,1,0,0,1,0
Accountant,Standard,Yes,1,0,1,0,0,0
Writer,Standard,Yes,0,0,0,1,0,0
Writer,Standard,Yes,0,0,0,1,0,1
Journalist,Good,No,0,1,0,0,1,0
Architect,Good,No,0,0,1,1,0,0
Accountant,Good,No,0,0,0,0,0,0
Teacher,Standard,Yes,0,0,1,0,0,1
Lawyer,Bad,Yes,0,0,0,1,0,0
Lawyer,Standard,Yes,1,0,1,0,0,0
